year,tournament_id,tournament_name,execution_time,player_id,first_name,last_name,display_name,status,owgr
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,52955,Ludvig,Åberg,"Åberg, Ludvig",IN,27
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,33408,Tyson,Alexander,"Alexander, Tyson",IN,270
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,22371,Aaron,Baddeley,"Baddeley, Aaron",IN,234
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,37212,Paul,Barjon,"Barjon, Paul",IN,207
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,34374,Erik,Barnes,"Barnes, Erik",IN,413
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,40026,Daniel,Berger,"Berger, Daniel",IN,613
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,45522,Christiaan,Bezuidenhout,"Bezuidenhout, Christiaan",IN,58
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,56630,Akshay,Bhatia,"Bhatia, Akshay",IN,90
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,34310,Alexander,Björk,"Björk, Alexander",IN,77
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,40058,Zac,Blair,"Blair, Zac",IN,104
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,22764,Michael,Block,"Block, Michael",IN,609
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,33141,Keegan,Bradley,"Bradley, Keegan",IN,15
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,34255,Joseph,Bramlett,"Bramlett, Joseph",IN,219
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,28420,Ryan,Brehm,"Brehm, Ryan",IN,539
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,60004,Jacob,Bridgeman,"Bridgeman, Jacob",IN,185
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,55708,Hayden,Buckley,"Buckley, Hayden",IN,140
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,29268,Bronson,Burgoon,"Burgoon, Bronson",IN,596
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,58816,Marcus,Byrd,"Byrd, Marcus",IN,
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,32070,Rafael,Campos,"Campos, Rafael",IN,307
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,35450,Patrick,Cantlay,"Cantlay, Patrick",IN,6
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,52372,Cameron,Champ,"Champ, Cameron",IN,298
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,51671,Alex,Chiarella,"Chiarella, Alex",IN,834
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,20229,Stewart,Cink,"Cink, Stewart",IN,269
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,47591,Eric,Cole,"Cole, Eric",IN,40
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,59442,Parker,Coody,"Coody, Parker",IN,186
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,59836,Pierceson,Coody,"Coody, Pierceson",IN,149
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,52514,Trace,Crowe,"Crowe, Trace",IN,201
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,34076,Joel,Dahmen,"Dahmen, Joel",IN,184
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,28089,Jason,Day,"Day, Jason",IN,21
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,33653,Thomas,Detry,"Detry, Thomas",IN,99
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,47663,Kevin,Dougherty,"Dougherty, Kevin",IN,289
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,50497,Adrien,Dumont de Chassart,"Dumont de Chassart, Adrien",IN,211
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,45609,Tyler,Duncan,"Duncan, Tyler",IN,141
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,51349,Nico,Echavarria,"Echavarria, Nico",IN,342
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,57362,Austin,Eckroat,"Eckroat, Austin",IN,97
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,47079,Harrison,Endycott,"Endycott, Harrison",IN,358
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,34099,Harris,English,"English, Harris",IN,39
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,29725,Tony,Finau,"Finau, Tony",IN,20
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,54576,Patrick,Fishburn,"Fishburn, Patrick",IN,285
2024,R2024004,Farmers Insurance Open,2024-02-04 09:27:55.940304,29936,Ryan,Fox,"Fox, Ryan",IN,35
