year,tournament_id,tournament_name,execution_time,player_id,first_name,last_name,display_name,status,owgr
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,33408,Tyson,Alexander,"Alexander, Tyson",IN,265
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,22371,Aaron,Baddeley,"Baddeley, Aaron",IN,242
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,37212,Paul,Barjon,"Barjon, Paul",IN,213
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,34374,Erik,Barnes,"Barnes, Erik",IN,488
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,40026,Daniel,Berger,"Berger, Daniel",IN,664
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,45522,Christiaan,Bezuidenhout,"Bezuidenhout, Christiaan",IN,107
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,56630,Akshay,Bhatia,"Bhatia, Akshay",IN,91
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,34310,Alexander,Björk,"Björk, Alexander",IN,84
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,40058,Zac,Blair,"Blair, Zac",IN,98
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,22764,Michael,Block,"Block, Michael",IN,602
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,34255,Joseph,Bramlett,"Bramlett, Joseph",IN,233
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,28420,Ryan,Brehm,"Brehm, Ryan",IN,586
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,60004,Jacob,Bridgeman,"Bridgeman, Jacob",IN,198
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,55708,Hayden,Buckley,"Buckley, Hayden",IN,133
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,29268,Bronson,Burgoon,"Burgoon, Bronson",IN,
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,47504,Sam,Burns,"Burns, Sam",IN,24
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,35450,Patrick,Cantlay,"Cantlay, Patrick",IN,6
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,52372,Cameron,Champ,"Champ, Cameron",IN,275
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,51766,Wyndham,Clark,"Clark, Wyndham",IN,10
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,47591,Eric,Cole,"Cole, Eric",IN,38
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,59442,Parker,Coody,"Coody, Parker",IN,201
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,59836,Pierceson,Coody,"Coody, Pierceson",IN,134
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,52514,Trace,Crowe,"Crowe, Trace",IN,226
2024,R2024002,The American Express,2024-01-21 14:48:41.171856,34076,Joel,Dahmen,"Dahmen, Joel",IN,169
