year,tournament_id,tournament_name,execution_time,player_id,first_name,last_name,display_name,status,owgr
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,52955,Ludvig,Åberg,"Åberg, Ludvig",IN,30
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,33948,Byeong Hun,An,"An, Byeong Hun",IN,52
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,56630,Akshay,Bhatia,"Bhatia, Akshay",IN,98
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,33141,Keegan,Bradley,"Bradley, Keegan",IN,16
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,47504,Sam,Burns,"Burns, Sam",IN,23
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,35450,Patrick,Cantlay,"Cantlay, Patrick",IN,5
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,51766,Wyndham,Clark,"Clark, Wyndham",IN,10
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,47591,Eric,Cole,"Cole, Eric",IN,39
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,39997,Corey,Conners,"Conners, Corey",IN,38
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,45157,Cam,Davis,"Davis, Cam",IN,44
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,28089,Jason,Day,"Day, Jason",IN,18
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,51349,Nico,Echavarria,"Echavarria, Nico",IN,346
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,34099,Harris,English,"English, Harris",IN,37
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,29725,Tony,Finau,"Finau, Tony",IN,22
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,40098,Matt,Fitzpatrick,"Fitzpatrick, Matt",IN,8
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,30911,Tommy,Fleetwood,"Fleetwood, Tommy",IN,15
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,32102,Rickie,Fowler,"Fowler, Rickie",IN,25
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,25900,Lucas,Glover,"Glover, Lucas",IN,31
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,31646,Emiliano,Grillo,"Grillo, Emiliano",IN,35
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,33399,Adam,Hadwin,"Hadwin, Adam",IN,48
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,47988,Nick,Hardy,"Hardy, Nick",IN,145
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,27644,Brian,Harman,"Harman, Brian",IN,9
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,34363,Tyrrell,Hatton,"Hatton, Tyrrell",IN,14
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,34098,Russell,Henley,"Henley, Russell",IN,27
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,54628,Lee,Hodges,"Hodges, Lee",IN,60
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,35532,Tom,Hoge,"Hoge, Tom",IN,61
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,39977,Max,Homa,"Homa, Max",IN,7
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,46717,Viktor,Hovland,"Hovland, Viktor",IN,4
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,35506,Mackenzie,Hughes,"Hughes, Mackenzie",IN,63
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,39971,Sungjae,Im,"Im, Sungjae",IN,26
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,37455,Si Woo,Kim,"Kim, Si Woo",IN,46
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,55182,Tom,Kim,"Kim, Tom",IN,12
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,30926,Chris,Kirk,"Kirk, Chris",IN,21
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,48117,Kurt,Kitayama,"Kitayama, Kurt",IN,33
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,27129,Luke,List,"List, Luke",IN,82
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,32839,Hideki,Matsuyama,"Matsuyama, Hideki",IN,50
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,47993,Denny,McCarthy,"McCarthy, Denny",IN,36
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,49947,Taylor,Moore,"Moore, Taylor",IN,53
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,50525,Collin,Morikawa,"Morikawa, Collin",IN,11
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,51070,Vincent,Norrman,"Norrman, Vincent",IN,71
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,49771,J.T.,Poston,"Poston, J.T.",IN,41
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,28252,Seamus,Power,"Power, Seamus",IN,85
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,34256,Andrew,Putnam,"Putnam, Andrew",IN,62
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,47995,Davis,Riley,"Riley, Davis",IN,142
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,36699,Patrick,Rodgers,"Rodgers, Patrick",IN,86
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,22405,Justin,Rose,"Rose, Justin",IN,40
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,48081,Xander,Schauffele,"Schauffele, Xander",IN,6
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,46046,Scottie,Scheffler,"Scheffler, Scottie",IN,1
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,47347,Adam,Schenk,"Schenk, Adam",IN,45
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,34046,Jordan,Spieth,"Spieth, Jordan",IN,13
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,49960,Sepp,Straka,"Straka, Sepp",IN,17
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,40115,Adam,Svensson,"Svensson, Adam",IN,57
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,25493,Nick,Taylor,"Taylor, Nick",IN,54
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,51634,Sahith,Theegala,"Theegala, Sahith",IN,20
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,30927,Brendon,Todd,"Todd, Brendon",IN,59
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,40006,Erik,van Rooyen,"van Rooyen, Erik",IN,83
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,27770,Camilo,Villegas,"Villegas, Camilo",IN,151
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,48887,Matt,Wallace,"Wallace, Matt",IN,67
2024,R2024016,The Sentry,2024-01-15 00:01:55.898641,57366,Cameron,Young,"Young, Cameron",IN,24
