year,tournament_id,tournament_name,execution_time,player_id,first_name,last_name,display_name,status,owgr
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,33408,Tyson,Alexander,"Alexander, Tyson",IN,272
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,33948,Byeong Hun,An,"An, Byeong Hun",IN,42
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,22371,Aaron,Baddeley,"Baddeley, Aaron",IN,239
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,40026,Daniel,Berger,"Berger, Daniel",IN,644
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,45522,Christiaan,Bezuidenhout,"Bezuidenhout, Christiaan",IN,57
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,56630,Akshay,Bhatia,"Bhatia, Akshay",IN,91
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,34310,Alexander,Björk,"Björk, Alexander",IN,77
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,40058,Zac,Blair,"Blair, Zac",IN,105
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,34255,Joseph,Bramlett,"Bramlett, Joseph",IN,221
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,28420,Ryan,Brehm,"Brehm, Ryan",IN,544
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,55708,Hayden,Buckley,"Buckley, Hayden",IN,141
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,47504,Sam,Burns,"Burns, Sam",IN,20
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,34021,Bud,Cauley,"Cauley, Bud",IN,
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,52372,Cameron,Champ,"Champ, Cameron",IN,297
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,32366,Kevin,Chappell,"Chappell, Kevin",IN,562
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,20229,Stewart,Cink,"Cink, Stewart",IN,271
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,51766,Wyndham,Clark,"Clark, Wyndham",IN,6
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,47591,Eric,Cole,"Cole, Eric",IN,38
