Pos,Unnamed: 1,Player,Total,Thru,Round,R1,R2,R3,R4,tournament_name,tournament_id
1,22,Wyndham Clark(PB),-17,F,-12,72,67,60,0,AT&T Pebble Beach Pro-Am,R2024005
2,1,Ludvig Åberg(PB),-16,F,-5,68,65,67,0,AT&T Pebble Beach Pro-Am,R2024005
3,2,Matthieu Pavon(PB),-15,F,-6,65,70,66,0,AT&T Pebble Beach Pro-Am,R2024005
T4,6,Mark Hubbard(PB),-14,F,-7,69,68,65,0,AT&T Pebble Beach Pro-Am,R2024005
T4,3,Thomas Detry(PB),-14,F,-3,63,70,69,0,AT&T Pebble Beach Pro-Am,R2024005
T6,28,Jason Day(PB),-13,F,-9,69,71,63,0,AT&T Pebble Beach Pro-Am,R2024005
T6,4,Tom Hoge(PB),-13,F,-6,71,66,66,0,AT&T Pebble Beach Pro-Am,R2024005
T6,1,Justin Thomas(PB),-13,F,-4,68,67,68,0,AT&T Pebble Beach Pro-Am,R2024005
T6,5,Scottie Scheffler(PB),-13,F,-2,69,64,70,0,AT&T Pebble Beach Pro-Am,R2024005
10,-,Sam Burns(PB),-12,F,-5,68,69,67,0,AT&T Pebble Beach Pro-Am,R2024005
T11,12,Justin Rose(PB),-11,F,-6,68,71,66,0,AT&T Pebble Beach Pro-Am,R2024005
T11,3,Keegan Bradley(PB),-11,F,-3,70,66,69,0,AT&T Pebble Beach Pro-Am,R2024005
T11,7,Patrick Cantlay(PB),-11,F,-1,64,70,71,0,AT&T Pebble Beach Pro-Am,R2024005
T14,9,Eric Cole(PB),-10,F,-5,68,71,67,0,AT&T Pebble Beach Pro-Am,R2024005
T14,4,Si Woo Kim(PB),-10,F,-3,66,71,69,0,AT&T Pebble Beach Pro-Am,R2024005
T14,4,Peter Malnati(PB),-10,F,-3,69,68,69,0,AT&T Pebble Beach Pro-Am,R2024005
T14,4,Collin Morikawa(PB),-10,F,-3,67,70,69,0,AT&T Pebble Beach Pro-Am,R2024005
T14,6,Beau Hossler(PB),-10,F,-2,69,67,70,0,AT&T Pebble Beach Pro-Am,R2024005
T14,9,Emiliano Grillo(PB),-10,F,-1,66,69,71,0,AT&T Pebble Beach Pro-Am,R2024005
T20,3,Adam Scott(PB),-9,F,-4,72,67,68,0,AT&T Pebble Beach Pro-Am,R2024005
T20,3,Christiaan Bezuidenhout(PB),-9,F,-4,69,70,68,0,AT&T Pebble Beach Pro-Am,R2024005
T20,3,Erik van Rooyen(PB),-9,F,-4,69,70,68,0,AT&T Pebble Beach Pro-Am,R2024005
T20,3,Cam Davis(PB),-9,F,-4,70,69,68,0,AT&T Pebble Beach Pro-Am,R2024005
T20,10,Sahith Theegala(PB),-9,F,-2,70,67,70,0,AT&T Pebble Beach Pro-Am,R2024005
T20,2,J.T. Poston(PB),-9,F,-3,70,68,69,0,AT&T Pebble Beach Pro-Am,R2024005
T26,8,Chris Kirk(PB),-8,F,-4,71,69,68,0,AT&T Pebble Beach Pro-Am,R2024005
T26,8,Sepp Straka(PB),-8,F,-4,69,71,68,0,AT&T Pebble Beach Pro-Am,R2024005
T26,3,Luke List(PB),-8,F,-3,72,67,69,0,AT&T Pebble Beach Pro-Am,R2024005
T26,3,Alex Noren(PB),-8,F,-3,71,68,69,0,AT&T Pebble Beach Pro-Am,R2024005
T26,8,Denny McCarthy(PB),-8,F,-2,68,70,70,0,AT&T Pebble Beach Pro-Am,R2024005
T31,13,Seamus Power(PB),-7,F*,-4,72,69,68,0,AT&T Pebble Beach Pro-Am,R2024005
T31,13,Tommy Fleetwood(PB),-7,F*,-4,69,72,68,0,AT&T Pebble Beach Pro-Am,R2024005
T31,3,S.H. Kim(PB),-7,F,-3,70,70,69,0,AT&T Pebble Beach Pro-Am,R2024005
T31,3,Corey Conners(PB),-7,F,-3,70,70,69,0,AT&T Pebble Beach Pro-Am,R2024005
T31,22,Byeong Hun An(PB),-7,F*,-5,71,71,67,0,AT&T Pebble Beach Pro-Am,R2024005
T31,8,Nicolai Højgaard(PB),-7,F,-2,74,65,70,0,AT&T Pebble Beach Pro-Am,R2024005
T31,13,Tom Kim(PB),-7,F,-1,71,67,71,0,AT&T Pebble Beach Pro-Am,R2024005
T31,13,Sam Ryder(PB),-7,F,-1,71,67,71,0,AT&T Pebble Beach Pro-Am,R2024005
T39,5,Adam Hadwin(PB),-6,F,-2,73,67,70,0,AT&T Pebble Beach Pro-Am,R2024005
T39,5,Jordan Spieth(PB),-6,F*,-3,72,69,69,0,AT&T Pebble Beach Pro-Am,R2024005
T39,5,Taylor Montgomery(PB),-6,F,-2,69,71,70,0,AT&T Pebble Beach Pro-Am,R2024005
T39,5,Andrew Putnam(PB),-6,F*,-3,72,69,69,0,AT&T Pebble Beach Pro-Am,R2024005
T39,5,Maverick McNealy(PB),-6,F*,-3,72,69,69,0,AT&T Pebble Beach Pro-Am,R2024005
T39,5,Webb Simpson(PB),-6,F*,-3,73,68,69,0,AT&T Pebble Beach Pro-Am,R2024005
T39,16,Matt Kuchar(PB),-6,F,-1,69,70,71,0,AT&T Pebble Beach Pro-Am,R2024005
T39,19,Kurt Kitayama(PB),-6,F*,-5,69,74,67,0,AT&T Pebble Beach Pro-Am,R2024005
