Pos,Unnamed: 1,Player,Total,Thru,Round,R1,R2,R3,R4,tournament_name,tournament_id
1,1,Matthieu Pavon(SC),-13,F,-3,69,65,72,69,Farmers Insurance Open,R2024004
2,-,Nicolai Højgaard(SC),-12,F,-2,67,66,73,70,Farmers Insurance Open,R2024004
T3,16,Nate Lashley(SC),-11,F,-5,73,67,70,67,Farmers Insurance Open,R2024004
T3,2,Jake Knapp(SC),-11,F,-3,69,69,70,69,Farmers Insurance Open,R2024004
T3,2,Stephan Jaeger(SC),-11,F,0,68,64,73,72,Farmers Insurance Open,R2024004
T6,21,Kevin Yu(SC),-10,F,-5,64,74,73,67,Farmers Insurance Open,R2024004
T6,13,Beau Hossler(SC),-10,F,-4,68,70,72,68,Farmers Insurance Open,R2024004
T6,4,Tony Finau(SC),-10,F,-3,69,66,74,69,Farmers Insurance Open,R2024004
T9,10,Patrick Rodgers(SC),-9,F,-3,73,64,73,69,Farmers Insurance Open,R2024004
T9,1,Xander Schauffele(SC),-9,F,-2,69,68,72,70,Farmers Insurance Open,R2024004
T9,1,Ludvig Åberg(SC),-9,F,-2,68,72,69,70,Farmers Insurance Open,R2024004
T9,4,Taylor Pendrith(SC),-9,F,-1,73,66,69,71,Farmers Insurance Open,R2024004
T13,25,Tom Whitney(SC),-8,F*,-4,70,67,75,68,Farmers Insurance Open,R2024004
T13,34,Hideki Matsuyama(SC),-8,F*,-5,66,71,76,67,Farmers Insurance Open,R2024004
T13,14,Max Homa(SC),-8,F,-3,70,70,71,69,Farmers Insurance Open,R2024004
T13,38,Doug Ghim(SC),-8,F*,-6,69,70,75,66,Farmers Insurance Open,R2024004
T13,6,Akshay Bhatia(SC),-8,F,-2,70,71,69,70,Farmers Insurance Open,R2024004
T13,3,Will Zalatoris(SC),-8,F,-1,73,68,68,71,Farmers Insurance Open,R2024004
T13,8,Taylor Montgomery(SC),-8,F,0,68,70,70,72,Farmers Insurance Open,R2024004
T20,18,Mark Hubbard(SC),-7,F*,-3,69,72,71,69,Farmers Insurance Open,R2024004
T20,1,Rafael Campos(SC),-7,F,-1,70,69,71,71,Farmers Insurance Open,R2024004
T20,10,Ryan Brehm(SC),-7,F,0,71,70,68,72,Farmers Insurance Open,R2024004
T20,10,Emiliano Grillo(SC),-7,F,0,67,69,73,72,Farmers Insurance Open,R2024004
T20,16,Thomas Detry(SC),-7,F,+2,66,68,73,74,Farmers Insurance Open,R2024004
T25,13,Shane Lowry(SC),-6,F,-2,66,73,73,70,Farmers Insurance Open,R2024004
T25,2,Scott Stallings(SC),-6,F,-1,68,69,74,71,Farmers Insurance Open,R2024004
T25,2,Chesson Hadley(SC),-6,F,-1,67,70,74,71,Farmers Insurance Open,R2024004
T25,2,Adam Schenk(SC),-6,F,-1,70,68,73,71,Farmers Insurance Open,R2024004
T25,6,Joseph Bramlett(SC),-6,F,0,70,66,74,72,Farmers Insurance Open,R2024004
T25,15,Robby Shelton(SC),-6,F,+1,70,69,70,73,Farmers Insurance Open,R2024004
T25,15,Parker Coody(SC),-6,F,+1,71,67,71,73,Farmers Insurance Open,R2024004
T25,20,Trace Crowe(SC),-6,F,+2,70,69,69,74,Farmers Insurance Open,R2024004
T33,6,Aaron Rai(SC),-5,F,0,66,70,75,72,Farmers Insurance Open,R2024004
T33,14,Hayden Springer(SC),-5,F*,-2,73,67,73,70,Farmers Insurance Open,R2024004
T33,14,Ryo Hisatsune(SC),-5,F*,-2,65,75,73,70,Farmers Insurance Open,R2024004
T33,28,Joe Highsmith(SC),-5,F,+3,70,67,71,75,Farmers Insurance Open,R2024004
T37,1,Ben Martin(SC),-4,F,0,73,67,72,72,Farmers Insurance Open,R2024004
