Pos,Unnamed: 1,Player,Total,Thru,Round,R1,R2,R3,R4,tournament_name,tournament_id
1,-,Nick Dunlap(a) (SC),-27,2,0,64,65,60,0,The American Express,R2024002
2,-,Sam Burns(SC),-24,2,0,66,61,65,0,The American Express,R2024002
T3,1,Christiaan Bezuidenhout(SC),-23,3,-2,63,67,65,0,The American Express,R2024002
T3,-,Justin Thomas(SC),-23,2,0,65,67,61,0,The American Express,R2024002
T5,7,Ben Griffin(SC),-21,6,-3,66,68,64,0,The American Express,R2024002
T5,7,Kevin Yu(SC),-21,5,-3,66,66,66,0,The American Express,R2024002
T5,-,Adam Hadwin(SC),-21,4,-1,65,65,66,0,The American Express,R2024002
T5,-,J.T. Poston(SC),-21,4,-1,67,65,64,0,The American Express,R2024002
T5,-,Xander Schauffele(SC),-21,4,-1,64,69,63,0,The American Express,R2024002
T5,-,Eric Cole(SC),-21,3,-1,66,64,66,0,The American Express,R2024002
T5,-,Si Woo Kim(SC),-21,3,-1,64,66,66,0,The American Express,R2024002
T12,27,Keith Mitchell(SC),-20,10*,-6,69,67,66,0,The American Express,R2024002
T12,11,Ryo Hisatsune(SC),-20,8,-4,65,67,68,0,The American Express,R2024002
T12,-,Sungjae Im(SC),-20,5,-2,66,67,65,0,The American Express,R2024002
T15,24,Tom Hoge(SC),-19,10*,-5,69,68,65,0,The American Express,R2024002
T15,2,Chan Kim(SC),-19,7,-2,64,67,68,0,The American Express,R2024002
T15,5,Jimmy Stanger(SC),-19,4,0,65,66,66,0,The American Express,R2024002
T15,3,Michael Kim(SC),-19,4,-1,65,63,70,0,The American Express,R2024002
T19,9,Alex Smalley(SC),-18,11,-3,66,69,66,0,The American Express,R2024002
T19,20,Greyson Sigg(SC),-18,11*,-4,70,69,63,0,The American Express,R2024002
T19,4,Davis Thompson(SC),-18,8,-2,67,67,66,0,The American Express,R2024002
T19,4,Harrison Endycott(SC),-18,8,-2,70,68,62,0,The American Express,R2024002
T19,2,Bronson Burgoon(SC),-18,7,-1,66,69,64,0,The American Express,R2024002
T19,7,Alexander Björk(SC),-18,5,0,64,67,67,0,The American Express,R2024002
T25,3,Paul Barjon(SC),-17,11*,-2,70,64,67,0,The American Express,R2024002
T25,3,Min Woo Lee(SC),-17,10,-2,65,66,70,0,The American Express,R2024002
T25,3,Tyler Duncan(SC),-17,10,-2,67,69,65,0,The American Express,R2024002
T25,3,Vince Whaley(SC),-17,10,-2,67,68,66,0,The American Express,R2024002
T25,14,Carson Young(SC),-17,9*,-3,70,64,68,0,The American Express,R2024002
T25,14,Will Zalatoris(SC),-17,8*,-3,68,69,65,0,The American Express,R2024002
T25,14,Tony Finau(SC),-17,7*,-3,68,67,67,0,The American Express,R2024002
T25,8,Chris Kirk(SC),-17,7,0,68,64,67,0,The American Express,R2024002
T25,14,Scottie Scheffler(SC),-17,6*,-3,67,66,69,0,The American Express,R2024002
T25,15,Patrick Cantlay(SC),-17,4,+2,64,66,67,0,The American Express,R2024002
T35,7,Max Greyserman(SC),-16,10,-1,67,68,66,0,The American Express,R2024002
T35,12,Joe Highsmith(SC),-16,8,0,66,69,65,0,The American Express,R2024002
T35,4,Mark Hubbard(SC),-16,8*,-2,70,66,66,0,The American Express,R2024002
T35,18,Alex Noren(SC),-16,7,+1,62,68,69,0,The American Express,R2024002
T35,4,Chesson Hadley(SC),-16,6*,-2,65,66,71,0,The American Express,R2024002
T35,4,Chez Reavie(SC),-16,6*,-2,66,70,66,0,The American Express,R2024002
T35,22,K.H. Lee(SC),-16,5*,-3,65,64,74,0,The American Express,R2024002
T42,14,Matthieu Pavon(SC),-15,11*,0,67,66,68,0,The American Express,R2024002
T42,14,Stephan Jaeger(SC),-15,9,0,69,65,67,0,The American Express,R2024002
T42,3,Erik van Rooyen(SC),-15,8*,-1,66,67,69,0,The American Express,R2024002
T42,19,Justin Lower(SC),-15,7,+1,64,68,68,0,The American Express,R2024002
T42,3,Jason Day(SC),-15,7*,-1,68,66,68,0,The American Express,R2024002
T42,3,Yuxin Lin(SC),-15,7*,-1,70,64,68,0,The American Express,R2024002
T42,15,Matt NeSmith(SC),-15,6*,-2,67,66,70,0,The American Express,R2024002
T42,15,Beau Hossler(SC),-15,5*,-2,69,70,64,0,The American Express,R2024002
T42,15,Chandler Phillips(SC),-15,5*,-2,70,70,63,0,The American Express,R2024002
T42,15,Austin Eckroat(SC),-15,4*,-2,69,65,69,0,The American Express,R2024002
T42,15,Ben Kohles(SC),-15,3*,-2,66,66,71,0,The American Express,R2024002
T53,25,Erik Barnes(SC),-14,10,+1,68,65,68,0,The American Express,R2024002
T53,25,Zac Blair(SC),-14,10,+1,67,67,67,0,The American Express,R2024002
T53,14,Wyndham Clark(SC),-14,10*,0,70,64,68,0,The American Express,R2024002
T53,36,Zach Johnson(SC),-14,6,+3,62,69,68,0,The American Express,R2024002
T53,36,Ben Martin(SC),-14,6,+3,68,64,67,0,The American Express,R2024002
T53,4,Daniel Berger(SC),-14,5*,-1,68,68,67,0,The American Express,R2024002
T53,4,Jacob Bridgeman(SC),-14,5*,-1,67,69,67,0,The American Express,R2024002
T53,4,Andrew Putnam(SC),-14,3*,-1,66,68,69,0,The American Express,R2024002
T61,22,Sam Ryder(SC),-13,7*,+1,69,66,67,0,The American Express,R2024002
T61,4,Sam Stevens(SC),-13,5*,0,70,65,68,0,The American Express,R2024002
T61,4,Lanto Griffin(SC),-13,4*,0,73,65,65,0,The American Express,R2024002
T64,25,Camilo Villegas(SC),-12,9*,+2,69,68,65,0,The American Express,R2024002
T64,25,Nico Echavarria(SC),-12,9*,+2,67,70,65,0,The American Express,R2024002
T66,38,Will Gordon(SC),-11,10,+4,67,69,65,0,The American Express,R2024002
T66,27,Taylor Montgomery(SC),-11,7*,+3,68,69,65,0,The American Express,R2024002
CUT,-,Justin Suh,-12,-,0,71,67,66,0,The American Express,R2024002
CUT,-,Akshay Bhatia,-12,-,0,70,67,67,0,The American Express,R2024002
CUT,-,Jhonattan Vegas,-12,-,0,68,70,66,0,The American Express,R2024002
CUT,-,Norman Xiong,-12,-,0,73,66,65,0,The American Express,R2024002
CUT,-,Kevin Streelman,-12,-,0,67,67,70,0,The American Express,R2024002
CUT,-,Shane Lowry,-12,-,0,67,67,70,0,The American Express,R2024002
CUT,-,Matt Wallace,-12,-,0,67,72,65,0,The American Express,R2024002
CUT,-,Troy Merritt,-12,-,0,70,64,70,0,The American Express,R2024002
CUT,-,David Skinns,-12,-,0,69,67,68,0,The American Express,R2024002
CUT,-,Nicholas Lindheim,-12,-,0,73,66,65,0,The American Express,R2024002
CUT,-,Aaron Baddeley,-11,-,0,74,66,65,0,The American Express,R2024002
CUT,-,Robby Shelton,-11,-,0,68,74,63,0,The American Express,R2024002
CUT,-,Adam Schenk,-11,-,0,70,67,68,0,The American Express,R2024002
CUT,-,Billy Horschel,-11,-,0,72,68,65,0,The American Express,R2024002
CUT,-,Brandon Wu,-11,-,0,69,68,68,0,The American Express,R2024002
CUT,-,Nate Lashley,-11,-,0,72,67,66,0,The American Express,R2024002
CUT,-,Matt Kuchar,-11,-,0,73,67,65,0,The American Express,R2024002
CUT,-,Nick Taylor,-11,-,0,68,67,70,0,The American Express,R2024002
CUT,-,Tom Kim,-11,-,0,69,71,65,0,The American Express,R2024002
CUT,-,Kevin Dougherty,-11,-,0,66,71,68,0,The American Express,R2024002
CUT,-,Scott Stallings,-11,-,0,64,68,73,0,The American Express,R2024002
CUT,-,Lee Hodges,-11,-,0,71,67,67,0,The American Express,R2024002
CUT,-,Adrien Dumont de Chassart,-11,-,0,68,71,66,0,The American Express,R2024002
CUT,-,Ben Silverman,-11,-,0,68,67,70,0,The American Express,R2024002
CUT,-,Hayden Springer,-11,-,0,64,70,71,0,The American Express,R2024002
CUT,-,"Blaine Hale, Jr.",-11,-,0,71,70,64,0,The American Express,R2024002
CUT,-,Rico Hoey,-11,-,0,63,70,72,0,The American Express,R2024002
CUT,-,Parker Coody,-11,-,0,68,68,69,0,The American Express,R2024002
CUT,-,Doug Ghim,-10,-,0,68,69,69,0,The American Express,R2024002
CUT,-,Aaron Rai,-10,-,0,69,71,66,0,The American Express,R2024002
CUT,-,Ryan Palmer,-10,-,0,68,69,69,0,The American Express,R2024002
CUT,-,Patrick Fishburn,-10,-,0,69,72,65,0,The American Express,R2024002
CUT,-,Cam Davis,-10,-,0,68,65,73,0,The American Express,R2024002
CUT,-,Ryan McCormick,-10,-,0,74,68,64,0,The American Express,R2024002
CUT,-,Taiga Semikawa,-9,-,0,68,71,68,0,The American Express,R2024002
CUT,-,Hayden Buckley,-9,-,0,72,66,69,0,The American Express,R2024002
CUT,-,Callum Tarren,-9,-,0,71,70,66,0,The American Express,R2024002
CUT,-,Davis Riley,-9,-,0,72,70,65,0,The American Express,R2024002
CUT,-,Matti Schmid,-9,-,0,69,67,71,0,The American Express,R2024002
CUT,-,Martin Laird,-9,-,0,69,70,68,0,The American Express,R2024002
CUT,-,Thomas Detry,-8,-,0,70,66,72,0,The American Express,R2024002
CUT,-,Garrick Higgo,-8,-,0,69,69,70,0,The American Express,R2024002
CUT,-,Mac Meissner,-8,-,0,65,68,75,0,The American Express,R2024002
CUT,-,Harry Hall,-8,-,0,75,68,65,0,The American Express,R2024002
CUT,-,Chad Ramey,-8,-,0,72,65,71,0,The American Express,R2024002
CUT,-,Alejandro Tosti,-8,-,0,66,72,70,0,The American Express,R2024002
CUT,-,Peter Malnati,-8,-,0,71,66,71,0,The American Express,R2024002
CUT,-,S.H. Kim,-8,-,0,68,71,69,0,The American Express,R2024002
CUT,-,James Hahn,-8,-,0,69,71,68,0,The American Express,R2024002
CUT,-,Joel Dahmen,-7,-,0,68,69,72,0,The American Express,R2024002
CUT,-,Tom Whitney,-7,-,0,66,70,73,0,The American Express,R2024002
CUT,-,Trace Crowe,-7,-,0,70,72,67,0,The American Express,R2024002
CUT,-,Josh Teater,-7,-,0,68,70,71,0,The American Express,R2024002
CUT,-,Jason Dufner,-7,-,0,69,73,67,0,The American Express,R2024002
CUT,-,Maverick McNealy,-6,-,0,73,66,71,0,The American Express,R2024002
CUT,-,Brandt Snedeker,-6,-,0,75,65,70,0,The American Express,R2024002
CUT,-,Michael Block,-6,-,0,72,71,67,0,The American Express,R2024002
CUT,-,Carl Yuan,-6,-,0,68,71,71,0,The American Express,R2024002
CUT,-,John Pak,-6,-,0,69,68,73,0,The American Express,R2024002
CUT,-,David Lingmerth,-5,-,0,70,72,69,0,The American Express,R2024002
CUT,-,Robert MacIntyre,-5,-,0,71,69,71,0,The American Express,R2024002
CUT,-,Chris Gotterup,-5,-,0,77,68,66,0,The American Express,R2024002
CUT,-,Grayson Murray,-5,-,0,70,69,72,0,The American Express,R2024002
CUT,-,Scott Gutschewski,-5,-,0,71,69,71,0,The American Express,R2024002
CUT,-,Cameron Champ,-5,-,0,74,72,65,0,The American Express,R2024002
CUT,-,Dylan Wu,-4,-,0,69,70,73,0,The American Express,R2024002
CUT,-,Joseph Bramlett,-4,-,0,69,73,70,0,The American Express,R2024002
CUT,-,Taylor Pendrith,-4,-,0,71,72,69,0,The American Express,R2024002
CUT,-,David Lipsky,-4,-,0,70,70,72,0,The American Express,R2024002
CUT,-,Charley Hoffman,-4,-,0,69,66,77,0,The American Express,R2024002
CUT,-,Bill Haas,-4,-,0,68,73,71,0,The American Express,R2024002
CUT,-,Sami Valimaki,-4,-,0,74,69,69,0,The American Express,R2024002
CUT,-,Patton Kizzire,-3,-,0,71,74,68,0,The American Express,R2024002
CUT,-,J.B. Holmes,-3,-,0,73,69,71,0,The American Express,R2024002
CUT,-,Roger Sloan,-3,-,0,76,68,69,0,The American Express,R2024002
CUT,-,Adam Long,-3,-,0,70,72,71,0,The American Express,R2024002
CUT,-,Pierceson Coody,-3,-,0,71,75,67,0,The American Express,R2024002
CUT,-,Ben Taylor,-2,-,0,70,71,73,0,The American Express,R2024002
CUT,-,Rickie Fowler,-2,-,0,70,68,76,0,The American Express,R2024002
CUT,-,Raul Pereda,-1,-,0,72,73,70,0,The American Express,R2024002
CUT,-,Andrew Novak,0,-,0,72,72,72,0,The American Express,R2024002
CUT,-,Andrew Landry,0,-,0,71,73,72,0,The American Express,R2024002
CUT,-,Kevin Kisner,+1,-,0,74,75,68,0,The American Express,R2024002
CUT,-,Jake Knapp,+2,-,0,71,73,74,0,The American Express,R2024002
CUT,-,Ryan Moore,+4,-,0,70,76,74,0,The American Express,R2024002
CUT,-,Ryan Brehm,+8,-,0,76,68,80,0,The American Express,R2024002
CUT,-,Tyson Alexander,+8,-,0,78,72,74,0,The American Express,R2024002
WD,-,Tyler McCumber,0,-,0,70,68,0,0,The American Express,R2024002
WD,-,Wilson Furr,0,-,0,66,77,0,0,The American Express,R2024002
