Pos,Unnamed: 1,Player,Total,Thru,Round,R1,R2,R3,R4,tournament_name,tournament_id
1,-,Chris Kirk,-29,F,-8,67,65,66,65,The Sentry,R2024016
2,4,Sahith Theegala,-28,F,-10,64,69,68,63,The Sentry,R2024016
3,-,Jordan Spieth,-27,F,-8,66,67,67,65,The Sentry,R2024016
4,1,Byeong Hun An,-26,F,-7,68,64,68,66,The Sentry,R2024016
T5,12,Sungjae Im,-25,F,-10,65,66,73,63,The Sentry,R2024016
T5,9,Brian Harman,-25,F,-9,67,66,70,64,The Sentry,R2024016
T5,5,J.T. Poston,-25,F,-8,68,68,66,65,The Sentry,R2024016
T5,5,Collin Morikawa,-25,F,-8,65,67,70,65,The Sentry,R2024016
T5,1,Scottie Scheffler,-25,F,-7,66,64,71,66,The Sentry,R2024016
T10,4,Jason Day,-24,F,-6,65,69,67,67,The Sentry,R2024016
T10,7,Xander Schauffele,-24,F,-5,66,69,65,68,The Sentry,R2024016
T12,2,Sepp Straka,-23,F,-7,67,66,70,66,The Sentry,R2024016
T12,2,Patrick Cantlay,-23,F,-6,66,68,68,67,The Sentry,R2024016
T14,13,Adam Hadwin,-22,F*,-9,70,66,70,64,The Sentry,R2024016
T14,9,Eric Cole,-22,F,-8,70,66,69,65,The Sentry,R2024016
T14,3,Patrick Rodgers,-22,F,-7,69,65,70,66,The Sentry,R2024016
T14,-,Tyrrell Hatton,-22,F,-6,69,62,72,67,The Sentry,R2024016
T14,3,Max Homa,-22,F,-7,67,69,68,66,The Sentry,R2024016
T14,4,Matt Fitzpatrick,-22,F,-5,69,64,69,68,The Sentry,R2024016
T14,8,Harris English,-22,F,-4,71,66,64,69,The Sentry,R2024016
T14,12,Akshay Bhatia,-22,F,-2,69,64,66,71,The Sentry,R2024016
T22,5,Erik van Rooyen,-21,F,-8,72,65,69,65,The Sentry,R2024016
T22,1,Luke List,-21,F,-7,67,70,68,66,The Sentry,R2024016
T22,5,Viktor Hovland,-21,F,-6,65,67,72,67,The Sentry,R2024016
T25,2,Taylor Moore,-20,F,-7,71,65,70,66,The Sentry,R2024016
T25,2,Si Woo Kim,-20,F,-7,70,66,70,66,The Sentry,R2024016
T25,2,Nico Echavarria,-20,F,-6,70,67,68,67,The Sentry,R2024016
T25,14,Mackenzie Hughes,-20,F*,-9,68,70,70,64,The Sentry,R2024016
T29,2,Lucas Glover,-19,F*,-6,72,66,68,67,The Sentry,R2024016
T29,6,Kurt Kitayama,-19,F*,-7,72,64,71,66,The Sentry,R2024016
T29,12,Adam Schenk,-19,F,-4,69,65,70,69,The Sentry,R2024016
T29,13,Wyndham Clark,-19,F*,-10,71,68,71,63,The Sentry,R2024016
T33,6,Adam Svensson,-18,F*,-5,70,68,68,68,The Sentry,R2024016
T33,10,Sam Burns,-18,F,-4,69,68,68,69,The Sentry,R2024016
T33,16,Brendon Todd,-18,F,-3,67,64,73,70,The Sentry,R2024016
T33,2,Corey Conners,-18,F*,-6,69,70,68,67,The Sentry,R2024016
T33,7,Cameron Young,-18,F*,-8,68,67,74,65,The Sentry,R2024016
T38,11,Tony Finau,-17,F,-4,69,66,71,69,The Sentry,R2024016
T38,3,Tom Hoge,-17,F*,-5,67,69,71,68,The Sentry,R2024016
T40,5,Matt Wallace,-16,F*,-4,68,70,69,69,The Sentry,R2024016
T40,7,Andrew Putnam,-16,F*,-9,74,71,67,64,The Sentry,R2024016
T40,14,Justin Rose,-16,F*,-12,71,69,75,61,The Sentry,R2024016
T43,16,Emiliano Grillo,-15,F*,-2,66,68,72,71,The Sentry,R2024016
T43,1,Denny McCarthy,-15,F*,-6,70,69,71,67,The Sentry,R2024016
T45,-,Keegan Bradley,-14,F*,-6,69,70,72,67,The Sentry,R2024016
T45,2,Tom Kim,-14,F*,-7,68,70,74,66,The Sentry,R2024016
T47,7,Tommy Fleetwood,-13,F*,-3,70,70,69,70,The Sentry,R2024016
T47,3,Nick Hardy,-13,F*,-7,71,67,75,66,The Sentry,R2024016
T47,9,Ludvig Åberg,-13,F*,-10,69,70,77,63,The Sentry,R2024016
T50,8,Camilo Villegas,-12,F*,-3,65,71,74,70,The Sentry,R2024016
T50,-,Seamus Power,-12,F*,-6,71,71,71,67,The Sentry,R2024016
T52,7,Nick Taylor,-11,F*,-3,69,69,73,70,The Sentry,R2024016
T52,2,Russell Henley,-11,F*,-5,69,72,72,68,The Sentry,R2024016
T52,4,Cam Davis,-11,F*,-8,75,68,73,65,The Sentry,R2024016
T52,6,Davis Riley,-11,F*,-9,70,71,76,64,The Sentry,R2024016
56,9,Rickie Fowler,-10,F*,-3,70,67,75,70,The Sentry,R2024016
57,4,Lee Hodges,-9,F*,-4,72,65,77,69,The Sentry,R2024016
58,4,Hideki Matsuyama,-8,F*,-4,71,68,76,69,The Sentry,R2024016
59,1,Vincent Norrman,-6,F*,-4,73,70,74,69,The Sentry,R2024016
