tournament_name,tournament_id,date,status
The Sentry,R2024016,Jan 4 - 7,completed
Sony Open in Hawaii,R2024006,Jan 11 - 14,upcoming
The American Express,R2024002,Jan 18 - 21,upcoming
Farmers Insurance Open,R2024004,Jan 24 - 27,upcoming
AT&T Pebble Beach Pro-Am,R2024005,Feb 1 - 4,upcoming
WM Phoenix Open,R2024003,Feb 8 - 11,upcoming
The Genesis Invitational,R2024007,Feb 15 - 18,upcoming
Mexico Open at Vidanta,R2024540,Feb 22 - 25,upcoming
Cognizant Classic in The Palm Beaches,R2024010,Feb 29 - Mar 3,upcoming
Puerto Rico Open,R2024483,Mar 7 - 10,upcoming
Arnold Palmer Invitational presented by Mastercard,R2024009,Mar 7 - 10,upcoming
THE PLAYERS Championship,R2024011,Mar 14 - 17,upcoming
Valspar Championship,R2024475,Mar 21 - 24,upcoming
Texas Children's Houston Open,R2024020,Mar 28 - 31,upcoming
Valero Texas Open,R2024041,Apr 4 - 7,upcoming
Masters Tournament,R2024014,Apr 11 - 14,upcoming
Corales Puntacana Championship,R2024522,Apr 18 - 21,upcoming
RBC Heritage,R2024012,Apr 18 - 21,upcoming
Zurich Classic of New Orleans,R2024018,Apr 25 - 28,upcoming
THE CJ CUP Byron Nelson,R2024019,May 2 - 5,upcoming
Myrtle Beach Classic,R2024553,May 9 - 12,upcoming
Wells Fargo Championship,R2024480,May 9 - 12,upcoming
PGA Championship,R2024033,May 16 - 19,upcoming
Charles Schwab Challenge,R2024021,May 23 - 26,upcoming
RBC Canadian Open,R2024032,May 30 - Jun 2,upcoming
the Memorial Tournament presented by Workday,R2024023,Jun 6 - 9,upcoming
U.S. Open,R2024026,Jun 13 - 16,upcoming
Travelers Championship,R2024034,Jun 20 - 23,upcoming
Rocket Mortgage Classic,R2024524,Jun 27 - 30,upcoming
John Deere Classic,R2024030,Jul 4 - 7,upcoming
Genesis Scottish Open,R2024541,Jul 11 - 14,upcoming
Barracuda Championship,R2024472,Jul 18 - 21,upcoming
The Open Championship,R2024100,Jul 18 - 21,upcoming
3M Open,R2024525,Jul 25 - 28,upcoming
Olympic Men's Golf Competition,R2024519,Aug 1 - 4,upcoming
Wyndham Championship,R2024013,Aug 8 - 11,upcoming
FedEx St. Jude Championship,R2024027,Aug 15 - 18,upcoming
BMW Championship,R2024028,Aug 22 - 25,upcoming
TOUR Championship,R2024060,Aug 29 - Sep 1,upcoming
